Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,BP /degC,Density g/cm3,Viscosity /cP,Vapour Pressure /mmHg,Refractive index,logP,Dipole moment (D),Dielectric constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Vol,Safety,Health,Environment,LD50,IGC50,% enol,"CHEM21 (0=bad, 0.5 = acceptable, 1=good)",Esterification,Thioester,Delapine,Functional Group,Grignard,Amide,C-C Heck,C-C Baylis,Suzuki-Miyaura Pd,Buchwald-Hartwig,Alkene metathesis,Suzuki-Miyaura Ni,Sn2/SnAr,Alcohol oxidation,Ester hydrolysis,cost £/L
nitrobenzene,No Ranking,,123.11,210.9,1.2,1.86,0.24,1.5562,1.85,4.22,35.6,0,0.3,1.01,20,8.6,4.1,102.7,,,,2.55,3.14,,,,,,No Group,,,,,,,,,,,,52
Anisole,Recommended,3,108.14,153.7,0.995,0.89,3.54,1.51791,2.11,1.33,4.3,0,0.32,0.73,17.8,4.1,6.7,119.1,4,1,5,1.47,2.9,,,93,,99,No Group,,,,,97,16,,,,,,32
benzotrifluoride,No Ranking,,146.11,102,1.19,0.54,38.82,1.41486,3.01,2.86,9.18,,,,17.5,8.8,0,121.9,,,,0.99,2.99,,,,,,No Group,,,,,,,,,,,,71
hexafluoroisopropanol,No Ranking,,168.05,58.2,1.6,1.57,158.85,,1.66,2.05,16.7,1.96,0,0.65,17.2,4.5,14.7,108.7,,,,1.8,,,,,,,No Group,,,,,,,,,,,,1000
trifluoroethanol,No Ranking,,100.04,78,1.39,1.64,71.29,,0.41,2.52,8.55,1.51,0,0.73,15.4,8.3,16.4,71.8,,,,2.62,,,,,,,No Group,,,,,,,,,,,,358
Pyridine,Hazardous,1,79.1,115,0.982,0.89,20.8,1.5092,0.65,2.26,12.4,0,0.64,0.87,19,8.8,5.9,80.9,4,2,3,1.95,1.68,,0.5,,,,No Group,,,,,,,,,,,,130
Dioxane,Hazardous,1,88.11,101,1.03,1.19,38.11,1.4224,-0.27,0.45,2.25,0,0.37,0.55,19,1.8,7.4,85.7,7,6,3,1.32,1.51,82,0,,,,No Group,,,,,90,95,,,,,75,56
N-Methyl-2-pyrrolidone,Hazardous,1,85.15,202,1.03,1.67,0.35,1.4684,-0.38,4.1,33,0,0.77,0.92,18,12.3,7.2,96.3,,,,1.4,1.46,,0,,,,No Group,,95,74,100,80,,,,80,,,37
Hexamethylphosphoramide,Highly Hazardous,0,179.2,233,1.03,3.43,0.046,1.4572,0.28,5.37,30,0,1.05,0.87,18.5,86,11.3,175.7,,,,1.83,,,,,,,No Group,,,,,,,,,,,,452
"1,2-Dimethoxyethane",Hazardous,1,90.12,85,0.868,0.45,113.19,1.3813,-0.21,1.71,7.2,0,0.41,0.53,15.4,6.3,6,103.7,,,,1.52,1.34,,0,,,,No Group,65,,,,,86,95,,,,,54
Cyrene,No Ranking,,128.13,226,1.251,3.54,0.18,,,,3.4,0,0.61,0.93,18.8,10.6,6.9,,1,2,7,1.34,,,,,,95,No Group,,95,42,100,80,,,,50,,,122
Gamma-valerolactone,No Ranking,,100.12,205,1.05,0.94,0.39,1.433,-0.27,4.3,36.5,,,,,,,96.2,1,5,7,1.06,1.43,,,,,,No Group,,,77,73,63,25,,,80,,,98
Ethyl lactate,No Ranking,,118.13,154,1.03,2.44,3.75,1.4124,-0.18,3.46,13.1,,,,16,7.6,12.5,115,3,4,5,1.16,1.75,,,,,,No Group,,,,,,,,,,,,55
Propylene carbonate,No Ranking,,102.09,242,1.2,0.88,0.045,1.4189,-0.41,4.9,64,,,,20,18,4.1,85,1,2,7,0.47,,,,,,,No Group,,85,74,80,37,22,,,30,,,43
"N,N-Dimethylpropylene urea",No Ranking,,128.18,246.5,1.06,2.86,0.15,,,4.17,36.12,,,,,,,120.9,1,6,7,1.73,,,,,,,No Group,,,,,,,,,,,,350
"N,N-Dimethylethylene urea",No Ranking,,114.15,225,1.056,1.69,0.33,,,2.64,37.6,,,,,,,,1,6,7,1.96,,,,,,,No Group,,,,,,,,,,,,318
